threshold_top_percent,n_permutations,edge,pmci_corr,smci_corr,difference_pmci_minus_smci,raw_p_value,fdr_corrected_p,significant_fdr_0.05,direction
0.2,1000,delta_RENTORHIN__delta_LMIDTEMP,0.49025347182229495,0.6690970679836927,-0.17884359616139778,0.117,0.191,False,lower_in_pMCI
0.2,1000,delta_LHIPPOC__delta_VENTRICLES,-0.2552864889609734,-0.42164527727861667,0.16635878831764328,0.133,0.191,False,higher_in_pMCI
0.2,1000,delta_LENTORHIN__delta_LMIDTEMP,0.48682631941293586,0.6433215571489423,-0.1564952377360065,0.104,0.191,False,lower_in_pMCI
0.2,1000,delta_LENTORHIN__delta_VENTRICLES,-0.24499353653249287,-0.37382028220920227,0.1288267456767094,0.169,0.191,False,higher_in_pMCI
0.2,1000,delta_LHIPPOC__delta_RHIPPOC,0.6710285984808405,0.5436279742558674,0.1274006242249731,0.191,0.191,False,higher_in_pMCI
0.3,1000,delta_RENTORHIN__delta_LMIDTEMP,0.49025347182229495,0.6690970679836927,-0.17884359616139778,0.117,0.26739999999999997,False,lower_in_pMCI
0.3,1000,delta_LHIPPOC__delta_VENTRICLES,-0.2552864889609734,-0.42164527727861667,0.16635878831764328,0.133,0.26739999999999997,False,higher_in_pMCI
0.3,1000,delta_LENTORHIN__delta_LMIDTEMP,0.48682631941293586,0.6433215571489423,-0.1564952377360065,0.104,0.26739999999999997,False,lower_in_pMCI
0.3,1000,delta_LENTORHIN__delta_VENTRICLES,-0.24499353653249287,-0.37382028220920227,0.1288267456767094,0.169,0.26739999999999997,False,higher_in_pMCI
0.3,1000,delta_LHIPPOC__delta_RHIPPOC,0.6710285984808405,0.5436279742558674,0.1274006242249731,0.191,0.26739999999999997,False,higher_in_pMCI
0.3,1000,delta_LHIPPOC__delta_LMIDTEMP,0.3977681291127554,0.5086981099499436,-0.11092998083718819,0.403,0.429,False,lower_in_pMCI
0.3,1000,delta_LHIPPOC__delta_RMIDTEMP,0.42209689321379973,0.5118416173536404,-0.08974472413984069,0.429,0.429,False,lower_in_pMCI
0.4,1000,delta_RENTORHIN__delta_LMIDTEMP,0.49025347182229495,0.6690970679836927,-0.17884359616139778,0.117,0.3438,False,lower_in_pMCI
0.4,1000,delta_LHIPPOC__delta_VENTRICLES,-0.2552864889609734,-0.42164527727861667,0.16635878831764334,0.133,0.3438,False,higher_in_pMCI
0.4,1000,delta_LENTORHIN__delta_LMIDTEMP,0.48682631941293586,0.6433215571489423,-0.1564952377360065,0.104,0.3438,False,lower_in_pMCI
0.4,1000,delta_LENTORHIN__delta_VENTRICLES,-0.24499353653249287,-0.37382028220920227,0.1288267456767094,0.169,0.3438,False,higher_in_pMCI
0.4,1000,delta_LHIPPOC__delta_RHIPPOC,0.6710285984808405,0.5436279742558674,0.1274006242249731,0.191,0.3438,False,higher_in_pMCI
0.4,1000,delta_LHIPPOC__delta_LMIDTEMP,0.3977681291127554,0.5086981099499436,-0.11092998083718819,0.403,0.429,False,lower_in_pMCI
0.4,1000,delta_LHIPPOC__delta_RMIDTEMP,0.42209689321379973,0.5118416173536404,-0.08974472413984069,0.429,0.429,False,lower_in_pMCI
0.4,1000,delta_RHIPPOC__delta_LENTORHIN,0.4883084279251826,0.4032963365430027,0.08501209138217991,0.373,0.429,False,higher_in_pMCI
0.4,1000,delta_RENTORHIN__delta_RMIDTEMP,0.5405460312614514,0.6231043154794917,-0.08255828421804035,0.39,0.429,False,lower_in_pMCI
